topology,|V|,|E|,avg_degree,nr_connected_components,degree_std,degree_entropy,assortativity,transitivity,average_clustering,cheeger_constant,spectral_gap,spectral_radius,algebraic_connectivity,border_breadth
topo1_rnp_it1,27,31,2.2962962962962963,1,2.5065073060279452,1.8850034910058473,-0.48278580814717426,0.096,0.10330286996953664,0.2727272727272727,1.4904555682921212,4.143859351110961,0.15572640654116282,{'1': 0.0}
topo1_rac_it3,27,33,2.4444444444444446,1,2.3778816176702997,2.0308550939547763,-0.4221817953704284,0.07258064516129033,0.06464646464646465,0.38461538461538464,1.553703729373952,4.0532043725497395,0.3590965525789424,{'1': 0.0}
topo1_rac_it2,27,32,2.3703703703703702,1,2.405982484283217,1.978796636859406,-0.4443579766536965,0.07377049180327869,0.06464646464646465,0.36363636363636365,1.5049441080171237,4.0366796950000605,0.32913161625864384,{'1': 0.0}
topo1_rac_it5,27,35,2.5925925925925926,1,2.3295089175579835,2.140699620015651,-0.3913611012222616,0.06976744186046512,0.06464646464646465,0.46153846153846156,1.6202140930357283,4.076623186407099,0.4621416163053873,{'1': 0.0}
topo1_rac_it4,27,34,2.5185185185185186,1,2.3628352455906043,2.140699620015651,-0.41068478061318175,0.07086614173228346,0.06464646464646465,0.5,1.571242810704272,4.069398170285497,0.4355676468981739,{'1': 0.0}
topo1_it0,27,30,2.2222222222222223,1,2.454524670486058,1.72475648260328,-0.47640261729082556,0.07627118644067797,0.06464646464646465,0.25,1.4558607328444997,4.027752389682354,0.1504626061237284,{'1': 0.0}
topo1_rnp_it5,27,35,2.5925925925925926,1,2.656358678080164,2.0843054156510905,-0.5013047732956397,0.11920529801324503,0.17749719416386084,0.45454545454545453,1.779680326895817,4.438412632204722,0.2500633568576203,{'1': 0.0}
topo1_rnp_it4,27,34,2.5185185185185186,1,2.615769419705122,1.978796636859406,-0.49480415667466077,0.10416666666666667,0.13878467211800546,0.45454545454545453,1.803804222435749,4.355809959489637,0.2500120533878629,{'1': 0.0}
topo1_rnp_it3,27,33,2.4444444444444446,1,2.586765939293959,1.9358825414799605,-0.5022198543775527,0.08695652173913043,0.09995189995189994,0.4166666666666667,1.7229365340330474,4.253687969091961,0.2500110925464456,{'1': 0.0}
topo1_rac_it1,27,31,2.2962962962962963,1,2.4315033425436816,1.8804563734806237,-0.4610271903323258,0.075,0.06464646464646465,0.3333333333333333,1.4735304857663216,4.030564768007059,0.25781965276638036,{'1': 0.0}
topo1_rnp_it2,27,32,2.3703703703703702,1,2.5261322822192493,1.8804563734806237,-0.47996937994386324,0.09230769230769231,0.1008337341670675,0.3333333333333333,1.5980714669477396,4.203904640907018,0.1733717256412141,{'1': 0.0}
