topology,|V|,|E|,avg_degree,nr_connected_components,degree_std,degree_entropy,assortativity,transitivity,average_clustering,cheeger_constant,spectral_gap,spectral_radius,algebraic_connectivity,border_breadth
topo1_rnp_it1,33,78,4.7272727272727275,1,2.9467262499741134,3.156401315606994,-0.04052641891450636,0.3387096774193548,0.40655691110236564,0.6666666666666666,2.0939502915878867,6.656482581236162,0.4532984049951644,"{'3': 1.75, '1': 1.0, '4': 1.0, '2': 1.25}"
topo1_rac_it3,33,78,4.7272727272727275,1,3.0178532132177875,2.917702923377119,0.007852886626415758,0.3333333333333333,0.42541683905320266,1.1538461538461537,2.7011619768079544,6.80599603348168,0.6854576129022772,"{'3': 1.75, '1': 1.1818181818181819, '4': 1.3, '2': 1.5}"
topo1_rac_it2,33,78,4.7272727272727275,1,3.047828111680038,2.915944696403075,-0.0034870819464272447,0.34459459459459457,0.46279057642694005,0.9333333333333333,2.537442206240504,6.821353773114085,0.6804394452187503,"{'3': 1.75, '1': 1.0909090909090908, '4': 1.2, '2': 1.5}"
topo1_rac_it5,33,78,4.7272727272727275,1,3.047828111680038,3.1422456365352116,-0.023424293648876975,0.31756756756756754,0.3380875017238653,1.1538461538461537,2.716164768229178,6.80602166310902,0.7880956922037762,"{'3': 1.75, '1': 1.2727272727272727, '4': 1.4, '2': 2.0}"
topo1_rac_it4,33,78,4.7272727272727275,1,3.037869341782337,3.071078498789855,-0.004167054970510974,0.32505643340857787,0.3586780223143859,1.0,2.7006749785247353,6.809563315753831,0.7776070888586402,"{'3': 1.75, '1': 1.2727272727272727, '4': 1.3, '2': 1.75}"
topo1_it0,33,78,4.7272727272727275,1,3.155300756665484,3.2813392870134828,-0.032443090159527364,0.3626373626373626,0.41767710404074043,0.6666666666666666,2.4218408751322738,6.912243468969337,0.3447986808471561,"{'3': 1.75, '1': 1.0909090909090908, '4': 1.1, '2': 1.25}"
topo1_rnp_it5,33,78,4.7272727272727275,1,2.4528613751330983,2.841880837900849,-0.016759776536312963,0.27692307692307694,0.32172154444881723,0.9333333333333333,1.7339608586656112,6.1397272627655495,0.6290136088544739,"{'3': 1.5, '1': 1.0, '4': 1.2, '2': 1.75}"
topo1_rnp_it4,33,78,4.7272727272727275,1,2.4528613751330983,2.841880837900849,-0.016759776536312963,0.27692307692307694,0.32172154444881723,0.9333333333333333,1.7339608586656095,6.13972726276555,0.6290136088544751,"{'3': 1.5, '1': 1.0, '4': 1.2, '2': 1.75}"
topo1_rnp_it3,33,78,4.7272727272727275,1,2.6085259656554354,2.970288908028925,-0.010212531051614567,0.31265508684863524,0.3611154838427566,0.8461538461538461,1.8858508348964325,6.3490081267503236,0.5833107853916302,"{'3': 1.5, '1': 0.9090909090909091, '4': 1.1, '2': 1.75}"
topo1_rac_it1,33,78,4.7272727272727275,1,3.1263564549161043,3.218192225222381,-0.03504414266043894,0.3584070796460177,0.4721963221963222,1.0,2.389601057408023,6.862345225889829,0.6136142470175986,"{'3': 1.75, '1': 1.0909090909090908, '4': 1.1, '2': 1.25}"
